section_title,subsection_title,item_id,name,description,price,image
Breakfast,Breakfast Menu,24,House Breakfast Special,"2 eggs, home fries, toast, and choice of sausage or bacon",$9.99,/images/menu/24.webp
Breakfast,Breakfast Menu,2,French Toast,3 pieces of French toast with syrup and butter,$8.99,/images/menu/2.webp
Breakfast,Breakfast Menu,3,Pancakes,3 homemade pancakes with syrup and butter,$8.99,/images/menu/3.webp
Lunch,Lunch Menu,23,Hamburger,"Fresh beef patty served with crispy fries. Add cheese $1.50. Add bacon $1.50",$9.99,/images/menu/23.webp
Lunch,Lunch Menu,6,Chicken Wings,"1 lb of fresh wings with a choice of sauce, served with crispy fries. Sauces: Plain, BBQ, Honey Garlic, or XXX Spicy",$12.99,/images/menu/6.webp
Lunch,Lunch Menu,20,Fish & Chips,Crispy fresh fish served with fries and tartar sauce,$13.99,/images/menu/20.webp
Lunch,Lunch Menu,7,Fried Chicken,2 pieces of fresh crispy chicken served with fries,$9.99,/images/menu/7.webp
Sides,Sides,11,Shrimp Fried Rice,Chinese fried rice served with shrimp,$12.99,/images/menu/11.webp
Sides,Sides,4,Poutine,Crispy French fries smothered in cheese and gravy,$9.99,/images/menu/4.webp
Sides,Sides,10,Chinese Fried Rice,Stir-fried rice with mixed vegetables and soy sauce,$8.99,/images/menu/10.webp
Sides,Sides,12,French Fries,Crispy French fries,$5.99,/images/menu/12.webp
Sides,Sides,14,Potato Wedges,Seasoned potato wedges,$6.99,/images/menu/14.webp
Sides,Sides,15,Spring Rolls,5 vegetable spring rolls served with plum sauce,$5.99,/images/menu/15.webp
Drinks,Beer,106,Budweiser/Blue/Coors Light/Canadian/Export/Dry,,$5.50+TAX,/images/menu/106.webp
Drinks,Beer,113,Moosehead,,$6.00+TAX,/images/menu/113.webp
Drinks,Beer,116,Corona/Heineken/Stella Artois/Guinness/Dragon Stout,,$7.00+TAX,/images/menu/116.webp
Drinks,Spirits,119,Shot 1oz,Canadian Club / J.P. Wiser's Deluxe / Captain Morgan Spiced Rum / Bacardí White Rum / Jameson Irish Whiskey,$6.00,/images/menu/119.webp
Drinks,Spirits,120,Shot 1oz,Baileys Irish Cream / Smirnoff Vodka / Crown Royal Whisky / Tequila Añejo / St-Rémy VSOP Brandy,$6.00,/images/menu/120.webp
Drinks,Spirits,118,Mixed Drink 1oz,,$7.00,/images/menu/118.webp
Drinks,Non-alcoholic,100,Hot Coffee,,$2.50,/images/menu/100.webp
Drinks,Non-alcoholic,101,Hot Tea,,$2.50,/images/menu/101.webp
Drinks,Non-alcoholic,102,Soft Drink,,$2.50,/images/menu/102.webp
Drinks,Non-alcoholic,103,Apple Juice,,$2.50,/images/menu/103.webp
Drinks,Non-alcoholic,104,Orange Juice,,$2.50,/images/menu/104.webp
Drinks,Non-alcoholic,105,Bottled Water,,$1.50,/images/menu/105.webp
